src,dst,weight
128,248,0.07751631949125926
129,130,0.11145815068727596
129,128,0.11140466147880654
129,8,0.10791512778011011
129,250,0.10791512778010746
129,9,0.07752982688359207
129,251,0.07752982688359107
130,129,0.11145815068727596
130,131,0.11141802896726948
130,9,0.10791512778011011
130,251,0.10791512778010746
130,8,0.07752982688359207
130,250,0.07752982688359107
131,130,0.11141802896726948
131,132,0.11140466147878396
131,10,0.10791512778011011
131,252,0.10791512778010746
131,9,0.07751631949126023
131,251,0.07751631949125926
132,133,0.11145815068732115
132,131,0.11140466147878396
132,11,0.10791512778011011
132,253,0.10791512778010746
132,12,0.07752982688360727
132,254,0.0775298268836063
133,132,0.11145815068732115
133,134,0.1114180289672469
133,12,0.10791512778011011
133,254,0.10791512778010746
